"시점","행정구역(시군구)별","성별",계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
"2023","전국","계",51145884.5,1380804.5,2050235,2341519,2329282,2861651.5,3428923.5,3345284,3221366,4013266.5,3932778.5,4488255.5,4100065.5,4190183.5,3282269.5,2229036.5,1653502.5,2297461,1313968.5,983492.5,688566,236889.5,50293,7744
"2023","전국","남자",25469181,707453,1050856.5,1203241,1202053,1489291.5,1800766,1754212,1654036,2041798,1991972,2269130.5,2060959,2077449,1594516.5,1045482,730938.5,795026.5,509861.5,285165,218927.5,56035,8987.5,1215
"2023","전국","여자",25676703.5,673351.5,999378.5,1138278,1127229,1372360,1628157.5,1591072,1567330,1971468.5,1940806.5,2219125,2039106.5,2112734.5,1687753,1183554.5,922564,1502434.5,804107,698327.5,469638.5,180854.5,41305.5,6529
"2023","서울특별시","계",9334933.5,220265.5,308678,357808.5,381243,564693.5,802843.5,764498.5,653747,727185.5,693374.5,787553,687236,703236,588956,409781,311120.5,372713.5,222881.5,149832,105271,35320.5,7997,1243.5
"2023","서울특별시","남자",4517716.5,113547,157926.5,183789.5,194709,265562.5,385727,383059.5,326054.5,360869,341614.5,388467,335669,335890,274771,188076,138414.5,143570,94385,49185,37602.5,9638,1687.5,257
"2023","서울특별시","여자",4817217,106718.5,150751.5,174019,186534,299131,417116.5,381439,327692.5,366316.5,351760,399086,351567,367346,314185,221705,172706,229143.5,128496.5,100647,67668.5,25682.5,6309.5,986.5
"2023","종로구","계",138501,2427,3724,4610,5245,9281,12459.5,10634,8523.5,9657,9620.5,12303,11237,11118,8955.5,6105,5180.5,7420.5,4293,3127.5,2183,724,189.5,31
"2023","종로구","남자",66846,1245,1862,2262.5,2595,4187.5,6130,5369,4192,4687,4615.5,6091,5580,5606.5,4441,2842,2232,2908,1789,1119,824,233,53.5,8.5
"2023","종로구","여자",71655,1182,1862,2347.5,2650,5093.5,6329.5,5265,4331.5,4970,5005,6212,5657,5511.5,4514.5,3263,2948.5,4512.5,2504,2008.5,1359,491,136,22.5
"2023","중구","계",119207,2738,3051.5,2896,3293.5,6800.5,10696.5,11073,9136,8831,7643,9644,9132.5,9558,8238,5660.5,4573,6242,3579,2663,1800,676,161.5,25.5
"2023","중구","남자",57719,1405,1561.5,1470,1626,3095.5,4949.5,5506.5,4616.5,4494.5,3885,4765.5,4626,4796,4069,2660,1956.5,2236,1445,791,568,177.5,40,5.5
"2023","중구","여자",61488,1333,1490,1426,1667.5,3705,5747,5566.5,4519.5,4336.5,3758,4878.5,4506.5,4762,4169,3000.5,2616.5,4006,2134,1872,1232,498.5,121.5,20
"2023","용산구","계",212437,5281,6217,6483.5,7309.5,12002.5,18733,20546,16804.5,16601.5,14732,18167.5,15742,15784,12731,8466,6793,10043,5577.5,4465.5,3098.5,1088,234.5,44.5
"2023","용산구","남자",102065.5,2714.5,3152,3325.5,3709,5433.5,8766.5,10203.5,8348,8311.5,7185,8832.5,7749.5,7773,6150.5,3879,2839.5,3692.5,2226,1466.5,1070,331,58.5,7
"2023","용산구","여자",110371.5,2566.5,3065,3158,3600.5,6569,9966.5,10342.5,8456.5,8290,7547,9335,7992.5,8011,6580.5,4587,3953.5,6350.5,3351.5,2999,2028.5,757,176,37.5
"2023","성동구","계",276960.5,8245,9310,8477.5,9632.5,17359.5,24060.5,23544.5,21889.5,21933.5,19227.5,23132.5,20900.5,21283.5,16677,11165,8906.5,11215.5,6733,4482.5,3246,991,205,40.5
"2023","성동구","남자",134427,4298,4732,4282.5,4749.5,8249,11941.5,11411,10813,11120.5,9515.5,11287,10358.5,10555.5,7971.5,5147.5,3818.5,4176,2741.5,1434.5,1103,271,49.5,11
"2023","성동구","여자",142533.5,3947,4578,4195,4883,9110.5,12119,12133.5,11076.5,10813,9712,11845.5,10542,10728,8705.5,6017.5,5088,7039.5,3991.5,3048,2143,720,155.5,29.5
"2023","광진구","계",333991,6525.5,9292,11365,12724,23367.5,36014.5,30984,23551,24596,23549.5,27493,25007.5,24831,19734,13060.5,9943.5,11952.5,7196.5,4756,3376,1083.5,257,39.5
"2023","광진구","남자",160612,3323,4797,5823,6328.5,10677,16938,15542,11649.5,12001,11579.5,13299,12199.5,11975.5,9320.5,6024.5,4469,4665.5,3092,1573.5,1197.5,303.5,60.5,12
"2023","광진구","여자",173379,3202.5,4495,5542,6395.5,12690.5,19076.5,15442,11901.5,12595,11970,14194,12808,12855.5,10413.5,7036,5474.5,7287,4104.5,3182.5,2178.5,780,196.5,27.5
"2023","동대문구","계",336442.5,8041,10418.5,10790,11816.5,25598.5,30747,25929.5,22825.5,25079,22999.5,26915.5,24443,25714,21970.5,15463.5,12456,15235,9304,5931,4321,1289.5,265.5,55
"2023","동대문구","남자",165188.5,4054.5,5343.5,5578.5,5920,11409,15551,13323,11770.5,12910,11817,13520.5,12366.5,12644,10538.5,7125,5429,5888,3882,2006,1571,371,54,10
"2023","동대문구","여자",171254,3986.5,5075,5211.5,5896.5,14189.5,15196,12606.5,11055,12169,11182.5,13395,12076.5,13070,11432,8338.5,7027,9347,5422,3925,2750,918.5,211.5,45
"2023","중랑구","계",381591.5,8812,10905,11673.5,12682.5,20058,30977,31306.5,26213.5,27990.5,25517.5,32271,32306,34421,27766,18597.5,13934,16160,9978.5,6181.5,4398,1400.5,340,43
"2023","중랑구","남자",187197.5,4473,5589.5,5989.5,6466.5,9634.5,14968.5,15838,13553.5,14717,13094,16002,15796,16745.5,13309,8672,6177.5,6171.5,4169,2002.5,1586,340,69.5,7
"2023","중랑구","여자",194394,4339,5315.5,5684,6216,10423.5,16008.5,15468.5,12660,13273.5,12423.5,16269,16510,17675.5,14457,9925.5,7756.5,9988.5,5809.5,4179,2812,1060.5,270.5,36
"2023","성북구","계",425100.5,10212,14757.5,16728,18760.5,31491.5,33357.5,29179,27447,32089,32078,38253,31491,31030.5,26059.5,18299.5,14777.5,19089.5,11569.5,7520,5351.5,1727,392.5,49
"2023","성북구","남자",204088,5268,7516.5,8529.5,9507,14183.5,16505,14747.5,13587.5,15871.5,15590.5,18893,15464,14709,12082.5,8177.5,6215.5,7240,4757,2483,1918,486.5,68,10.5
"2023","성북구","여자",221012.5,4944,7241,8198.5,9253.5,17308,16852.5,14431.5,13859.5,16217.5,16487.5,19360,16027,16321.5,13977,10122,8562,11849.5,6812.5,5037,3433.5,1240.5,324.5,38.5
"2023","강북구","계",288656.5,4806,7356.5,9156,10390.5,17231.5,21638,18917,16323.5,19903,20658,25815.5,23981.5,25462,21677,16189.5,13264,15887,10011,5876,4315,1244,276.5,40.5
"2023","강북구","남자",139838.5,2465.5,3776,4730,5218.5,7934.5,10787,9881.5,8618.5,10426,10467.5,12876.5,11704.5,12073.5,10080.5,7078.5,5554,6166,4090,2076,1646,359.5,59,11.5
"2023","강북구","여자",148818,2340.5,3580.5,4426,5172,9297,10851,9035.5,7705,9477,10190.5,12939,12277,13388.5,11596.5,9111,7710,9721,5921,3800,2669,884.5,217.5,29
"2023","도봉구","계",307411,5881.5,9015.5,10777.5,12114.5,17074,21220,19796,17946.5,21372.5,21746,27702,26257.5,28208,23919,15997,12397.5,15986,9673,6313,4426,1502,337.5,47.5
"2023","도봉구","남자",149082.5,3062.5,4658.5,5560,6275,8418,10698,10178.5,9212.5,10822.5,10700,13287,12478.5,13221.5,11330,7512.5,5532.5,6135,4071,2064,1564,406.5,83,10.5
"2023","도봉구","여자",158328.5,2819,4357,5217.5,5839.5,8656,10522,9617.5,8734,10550,11046,14415,13779,14986.5,12589,8484.5,6865,9851,5602,4249,2862,1095.5,254.5,37
"2023","노원구","계",498636.5,10935,16408.5,21899,26145.5,33819,33106,31699.5,29508.5,36609,39859,46948,38791.5,39142,32836.5,22185,16717,22027.5,12776.5,9251,6405,2268,500.5,77.5
"2023","노원구","남자",239480.5,5711.5,8383,11373,13524,17081,16939.5,15819.5,14791,17658,18801.5,22625,18701.5,18261.5,15120,10043,7017.5,7630,4902,2728,2028.5,584,101.5,14
"2023","노원구","여자",259156,5223.5,8025.5,10526,12621.5,16738,16166.5,15880,14717.5,18951,21057.5,24323,20090,20880.5,17716.5,12142,9699.5,14397.5,7874.5,6523,4376.5,1684,399,63.5
"2023","은평구","계",463624,10477,14529,16973.5,18954,26099,36101,35141,30687,35570,34956.5,40913,35481,36895.5,30552,21722.5,17287.5,21284.5,13013.5,8271,6095,1756,375,45
"2023","은평구","남자",220645,5405.5,7395,8674,9739,12546,16603.5,17121.5,15116,17750,17098,19872,16915,17320.5,13882.5,9565,7359,8282.5,5463,2819.5,2225.5,506,77,11
"2023","은평구","여자",242979,5071.5,7134,8299.5,9215,13553,19497.5,18019.5,15571,17820,17858.5,21041,18566,19575,16669.5,12157.5,9928.5,13002,7550.5,5451.5,3869.5,1250,298,34
"2023","서대문구","계",303674,7576,10369,10659,11613.5,21464,26910,23473,20920.5,22672,21532,25750.5,22367,22266,18164,12663,10631.5,14643,8688.5,5954.5,4271,1350,280.5,53
"2023","서대문구","남자",144360.5,3908,5228.5,5405,5726.5,9550.5,13076.5,11593.5,10260.5,11290,10502,12475,10806,10645.5,8431,5547.5,4435,5479.5,3471,2008.5,1546.5,395,55.5,11.5
"2023","서대문구","여자",159313.5,3668,5140.5,5254,5887,11913.5,13833.5,11879.5,10660,11382,11030,13275.5,11561,11620.5,9733,7115.5,6196.5,9163.5,5217.5,3946,2724.5,955,225,41.5
"2023","마포구","계",360946,9011,12146.5,12941.5,13925,23568,35659,34006,28990.5,29379.5,27615,30362.5,24339,23051.5,18263,12778,10552,14358,8420.5,5937.5,4180,1425.5,287.5,44.5
"2023","마포구","남자",168977.5,4657,6161.5,6557.5,6953,10269.5,15854.5,16038.5,13720,14315,13284.5,14787.5,11800,11067,8329.5,5492,4312,5378.5,3401.5,1977,1464.5,436,68.5,8
"2023","마포구","여자",191968.5,4354,5985,6384,6972,13298.5,19804.5,17967.5,15270.5,15064.5,14330.5,15575,12539,11984.5,9933.5,7286,6240,8979.5,5019,3960.5,2715.5,989.5,219,36.5
"2023","양천구","계",435876,9357,16844,23686,24470,24729.5,28780.5,27234.5,26103,35349,37467,40473.5,33877,33748,27872,18731,12709.5,14444.5,8447,5997.5,4070.5,1540,335,52
"2023","양천구","남자",212890,4882.5,8589.5,12288.5,12796,12602,14383.5,13767.5,12718,16774,18018.5,20086.5,16667,16229.5,13092,8944.5,5810,5240.5,3508,1732.5,1298,348,76.5,10
"2023","양천구","여자",222986,4474.5,8254.5,11397.5,11674,12127.5,14397,13467,13385,18575,19448.5,20387,17210,17518.5,14780,9786.5,6899.5,9204,4939,4265,2772.5,1192,258.5,42
"2023","강서구","계",562962,13845.5,18529.5,20764.5,21583.5,30008,50703,53392,43345.5,45658.5,40947,43592,38737.5,43045,36491,24859.5,17429.5,20030.5,11648.5,8382,5694.5,2103,511.5,73
"2023","강서구","남자",269867.5,7026,9435.5,10708.5,10970,14006,22600.5,26280.5,22113.5,23085.5,20330.5,21540.5,18277.5,20022.5,16607.5,11543,8094.5,7225.5,4760.5,2465,1852.5,510.5,88,14
