"시점","행정구역(시군구)별","성별",계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
"2023","강원도","계",1526763,39645.5,53774.5,63967,66508,81638,84848,80114.5,78773.5,102563,108629.5,131435,129270,148199,122388.5,75982,63703.5,95323.5,54346,40977.5,28362.5,9848.5,2410.5,356
"2023","강원도","남자",767650,20225,27566.5,32924,34763.5,45448,47948,43391.5,41072,52035,55456,68309.5,66186.5,74056,61415.5,35893.5,28288.5,32671,20905.5,11765.5,9012,2231.5,445.5,76.5
"2023","강원도","여자",759113,19420.5,26208,31043,31744.5,36190,36900,36723,37701.5,50528,53173.5,63125.5,63083.5,74143,60973,40088.5,35415,62652.5,33440.5,29212,19350.5,7617,1965,279.5
"2023","춘천시","계",285445,8236,11234,13184.5,12995,18215,18888,17563.5,16652,20692,20297.5,24094,22415,23929.5,19660,11377.5,10209,15802.5,8835,6967.5,4839,1675,395.5,58
"2023","춘천시","남자",140854.5,4180.5,5760.5,6836,6722.5,9653,10177.5,9277.5,8440,10266.5,9896,12111,11267,11576,9568.5,5194.5,4423.5,5504,3415,2089,1563.5,426.5,80.5,18.5
"2023","춘천시","여자",144590.5,4055.5,5473.5,6348.5,6272.5,8562,8710.5,8286,8212,10425.5,10401.5,11983,11148,12353.5,10091.5,6183,5785.5,10298.5,5420,4878.5,3275.5,1248.5,315,39.5
"2023","원주시","계",359758.5,11196,14818,17515.5,17388,20115.5,22870.5,22983.5,22327,27770.5,28113.5,32199.5,29485.5,30523.5,22728.5,13203.5,10282,16238,9146,7092,4910.5,1729,400,52.5
"2023","원주시","남자",178161,5730,7579,8924,9009.5,10888,12016.5,11777.5,11344,13770,13751,16036.5,14700.5,15076.5,11321,6187.5,4543.5,5506,3455,2051,1568.5,392,81,9.5
"2023","원주시","여자",181597.5,5466,7239,8591.5,8378.5,9227.5,10854,11206,10983,14000.5,14362.5,16163,14785,15447,11407.5,7016,5738.5,10732,5691,5041,3342,1337,319,43
"2023","강릉시","계",209691.5,4883,6892,8525.5,9143.5,11558.5,11621,10135.5,10279.5,14188,15914.5,18586.5,17557,19875.5,16801,11195.5,9344,13191,7466,5725,3863,1452,353.5,56.5
"2023","강릉시","남자",103896,2541,3544.5,4425,4853.5,6300.5,6438.5,5501.5,5383,7085.5,8084.5,9593,8813.5,9552.5,8013,5106,4137.5,4523,2878,1645,1256,332.5,48.5,8
"2023","강릉시","여자",105795.5,2342,3347.5,4100.5,4290,5258,5182.5,4634,4896.5,7102.5,7830,8993.5,8743.5,10323,8788,6089.5,5206.5,8668,4588,4080,2607,1119.5,305,48.5
"2023","동해시","계",88678.5,2188.5,3438.5,4167,4184.5,4285,4402.5,3961,4337,6352,7132,8302.5,7384.5,8187.5,6945.5,4622,3745.5,5043,2960,2083,1465,500.5,105,12.5
"2023","동해시","남자",45040.5,1115.5,1766.5,2146,2216.5,2476,2620,2241.5,2304.5,3237,3733.5,4396,3839,4022.5,3325.5,2171,1651,1778.5,1173.5,605,487,103.5,12,2.5
"2023","동해시","여자",43638,1073,1672,2021,1968,1809,1782.5,1719.5,2032.5,3115,3398.5,3906.5,3545.5,4165,3620,2451,2094.5,3264.5,1786.5,1478,978,397,93,10
