"시점","행정구역(시군구)별","성별",계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
"2023","경상북도","계",2558213.5,62519.5,95650,109478,108890.5,123978.5,129618,127606,134470.5,177516.5,183331.5,220765.5,222133,243956,199518,146629,101904.5,170248.5,94895,75353.5,53009.5,18147,3672,525
"2023","경상북도","남자",1290582,32110,49201,56884.5,57461.5,70275,74433,70497,71033.5,92458,94951,114988,114459,123681.5,99345,69768,44610,54426,34325.5,20100.5,15469,3972.5,607,52
"2023","경상북도","여자",1267631.5,30409.5,46449,52593.5,51429,53703.5,55185,57109,63437,85058.5,88380.5,105777.5,107674,120274.5,100173,76861,57294.5,115822.5,60569.5,55253,37540.5,14174.5,3065,473
"2023","포항시","계",493279,12541.5,20797.5,23690.5,22181,23881.5,27310.5,26505.5,27674.5,37617.5,36691.5,43744,42869,46629,38672,25771,16066,20636.5,12206,8430.5,5916,2038,416.5,60
"2023","포항시","남자",250053.5,6473,10797.5,12329.5,11694.5,13726,15990.5,14960.5,14437,19226,18486.5,21998,21451.5,22720,18940,12621,7400.5,6801.5,4658.5,2143,1671,407,58,7
"2023","포항시","여자",243225.5,6068.5,10000,11361,10486.5,10155.5,11320,11545,13237.5,18391.5,18205,21746,21417.5,23909,19732,13150,8665.5,13835,7547.5,6287.5,4245,1631,358.5,53
"2023","남구","계",226152,5308.5,9195,10873,10000.5,10937,13258,12042,12375,17401,17041.5,20117,19713,21177.5,17950.5,12196.5,7461,9105,5475.5,3629.5,2607,824,174.5,24
"2023","남구","남자",117218.5,2731,4782,5667.5,5277,6489.5,8149.5,7024,6533.5,9090.5,8890.5,10447.5,10287,10503.5,8822,5981,3481.5,3061,2160,901,727.5,147,23.5,3
"2023","남구","여자",108933.5,2577.5,4413,5205.5,4723.5,4447.5,5108.5,5018,5841.5,8310.5,8151,9669.5,9426,10674,9128.5,6215.5,3979.5,6044,3315.5,2728.5,1879.5,677,151,21
"2023","북구","계",267127,7233,11602.5,12817.5,12180.5,12944.5,14052.5,14463.5,15299.5,20216.5,19650,23627,23156,25451.5,20721.5,13574.5,8605,11531.5,6730.5,4801,3309,1214,242,36
