연번,시도,시군구,CCTV,연번,시도,시군구,CCTV,연번,시도,시군구,CCTV
1,서울,"시청
(CCTV 안전센터)",957,74,경기,안산시,"8,999",145,전북,완주군,"1,279"
2,,종로구,"2,339",75,,고양시,"9,451",146,,진안군,697
3,,중  구,"3,118",76,,과천시,"1,346",147,,무주군,909
4,,용산구,"3,609",77,,구리시,"2,940",148,,장수군,"1,015"
5,,성동구,"4,638",78,,남양주시,"7,867",149,,임실군,786
6,,광진구,"4,636",79,,오산시,"3,091",150,,순창군,541
7,,동대문구,"3,846",80,,시흥시,"7,436",151,,고창군,"1,440"
8,,중랑구,"5,392",81,,군포시,"4,294",152,,부안군,"1,083"
9,,성북구,"4,906",82,,의왕시,"2,662",153,전남,목포시,"2,587"
10,,강북구,"3,584",83,,하남시,"3,987",154,,여수시,"3,047"
11,,도봉구,"2,790",84,,용인시,"11,398",155,,순천시,"2,310"
12,,노원구,"4,105",85,,파주시,"6,278",156,,나주시,"2,029"
13,,은평구,"5,683",86,,이천시,"3,785",157,,광양시,"1,250"
14,,서대문구,"4,218",87,,안성시,"4,858",158,,담양군,913
15,,마포구,"3,809",88,,김포시,"7,436",159,,곡성군,622
16,,양천구,"4,854",89,,화성시,"14,288",160,,구례군,"1,317"
17,,강서구,"4,184",90,,광주시,"5,503",161,,고흥군,"1,748"
18,,구로구,"5,694",91,,양주시,"5,611",162,,보성군,"1,388"
19,,금천구,"3,458",92,,포천시,"2,873",163,,화순군,"1,574"
20,,영등포구,"5,133",93,,여주시,"3,222",164,,장흥군,"1,234"
21,,동작구,"3,664",94,,연천시,"1,147",165,,강진군,990
22,,관악구,"6,614",95,,가평군,"1,495",166,,해남군,"2,685"
23,,서초구,"6,036",96,,양평군,"2,942",167,,영암군,"1,368"
24,,강남구,"8,344",97,강원,춘천시,"2,263",168,,무안군,"1,144"
25,,송파구,"4,665",98,,원주시,"3,724",169,,함평군,"1,099"
