"시점","행정구역(시군구)별","성별",계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
"2023","광주광역시","계",1420562,40702.5,62653.5,73565,75537,93358,100970,88568,86476.5,113836,115058.5,126801,111240,103884,76434,55494,41910,54074,31736.5,22337.5,15645.5,5395.5,1114,182.5
"2023","광주광역시","남자",701187.5,20730.5,32162.5,37956.5,39165,48607,52767,46147.5,43872,56697,57083,62771,54915,50033.5,36021,25027,18165.5,19066.5,12520.5,6546,5089.5,1257,185,14.5
"2023","광주광역시","여자",719374.5,19972,30491,35608.5,36372,44751,48203,42420.5,42604.5,57139,57975.5,64030,56325,53850.5,40413,30467,23744.5,35007.5,19216,15791.5,10556,4138.5,929,168
"2023","동구","계",105751,3461.5,4077,3664.5,3810,6925.5,7918.5,7303.5,6840.5,7486,6862,8015,7576.5,8152,7185.5,5641.5,4562.5,6269,3741.5,2527.5,1780.5,613,114.5,19.5
"2023","동구","남자",52135,1770.5,2130,1906.5,1950.5,3525.5,4077.5,3720.5,3532,3932.5,3622.5,4017,3705.5,3868,3362,2515.5,1977,2522,1590,932,722.5,185,22.5,2
"2023","동구","여자",53616,1691,1947,1758,1859.5,3400,3841,3583,3308.5,3553.5,3239.5,3998,3871,4284,3823.5,3126,2585.5,3747,2151.5,1595.5,1058,428,92,17.5
"2023","서구","계",284640,6830.5,11131,13710.5,14873,19495.5,22044,17759,16112,21649,22855.5,26471,23177.5,21431.5,15913,11551.5,8668.5,10967,6404.5,4562.5,3169.5,1114.5,235.5,43
"2023","서구","남자",139154.5,3468,5783,7215.5,7793,10040.5,11310,9261.5,8083,10616.5,11055.5,12792.5,11354,10070,7427,5212,3765.5,3907,2532,1375,1057.5,272.5,43,2
"2023","서구","여자",145485.5,3362.5,5348,6495,7080,9455,10734,8497.5,8029,11032.5,11800,13678.5,11823.5,11361.5,8486,6339.5,4903,7060,3872.5,3187.5,2112,842,192.5,41
"2023","남구","계",210508,5534.5,9706.5,11569,10959.5,12281,13004,11580,12102,16852.5,16563,17176,15358,16270,13288,10346.5,7918.5,9999,5866,4133,2886,997,213.5,36.5
"2023","남구","남자",100820,2833,4928.5,5778.5,5466.5,6315,6594.5,5909.5,5908,8182,8232,8331.5,7215.5,7359,6062,4563,3463.5,3678,2448.5,1229.5,954.5,241,28.5,5.5
"2023","남구","여자",109688,2701.5,4778,5790.5,5493,5966,6409.5,5670.5,6194,8670.5,8331,8844.5,8142.5,8911,7226,5783.5,4455,6321,3417.5,2903.5,1931.5,756,185,31
