시점,행정구역(시군구)별,성별,계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
2023,경기도,계,13545542.5,414094,600617.5,671466.5,650517,772182.5,932864,943400,929355,1152431.5,1104358,1224263.5,1072415,1029614,749825,470060.5,354344,473734.5,269574,204160.5,142329,49266.5,10889.5,1675.5
2023,경기도,남자,6811447,211856,307363,343671.5,333353.5,402264,495849.5,496313.5,478186.5,588687,559990.5,617530.5,540388.5,518193.5,368620,222201,157599.5,169379,107430.5,61948.5,47155,12417.5,2047.5,328.5
2023,경기도,여자,6734095.5,202238,293254.5,327795,317163.5,369918.5,437014.5,447086.5,451168.5,563744.5,544367.5,606733,532026.5,511420.5,381205,247859.5,196744.5,304355.5,162143.5,142212,95174,36849,8842,1347
2023,수원시,계,1188668.5,35148,49526,56393.5,57746.5,77429.5,100019.5,97012.5,84722,99430,95965,106222,92863.5,84667.5,56696.5,35117,25873,33836.5,19189.5,14647,10215,3531.5,784,116.5
2023,수원시,남자,597784,18100.5,25560.5,29064.5,29737.5,39813,52906.5,51838.5,44225,50447.5,47987.5,52712,45993,42556.5,27492.5,16372,11220,11757,7470,4287,3239,882,145.5,20.5
2023,수원시,여자,590884.5,17047.5,23965.5,27329,28009,37616.5,47113,45174,40497,48982.5,47977.5,53510,46870.5,42111,29204,18745,14653,22079.5,11719.5,10360,6976,2649.5,638.5,96
2023,성남시,계,915389.5,25525,35756.5,41598,42237.5,51311.5,67211,68897.5,64407.5,74815.5,72728,82363.5,70622.5,70073,53959,34669,26009,33205.5,18850.5,14355,9809.5,3613,802,130.5
2023,성남시,남자,452884,12964,18225,21345,21564.5,25961,34838,35784,32576.5,37079.5,35799,41061.5,35087,34227.5,26316.5,16233,11472,12350,7834.5,4515.5,3376.5,938.5,167.5,33
2023,성남시,여자,462505.5,12561,17531.5,20253,20673,25350.5,32373,33113.5,31831,37736,36929,41302,35535.5,35845.5,27642.5,18436,14537,20855.5,11016,9839.5,6433,2674.5,634.5,97.5
2023,의정부시,계,461303,12940.5,17909.5,19934.5,20704.5,27843,32844,30874,29216.5,35967,35134,42768.5,38347,37335,28000.5,18010,14596,18878.5,11106,7772.5,5566.5,1758.5,388.5,59
