"시점","행정구역(시군구)별","성별",계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
"2023","충청남도","계",2119950.5,59200.5,88889.5,102580,99448,109083,118819,121990.5,129359,163842.5,160125,178378.5,165603.5,177739.5,140510,100723,75262,128397,68028,60369,42039.5,14917.5,2954,458
"2023","충청남도","남자",1084955.5,30359.5,45518.5,52955,51584.5,59384,67264,67114,69047,87193,84963,95359.5,87097.5,91205,70082,48421,34018.5,43389.5,25652.5,17737,13421.5,3682.5,575.5,57.5
"2023","충청남도","여자",1034995,28841,43371,49625,47863.5,49699,51555,54876.5,60312,76649.5,75162,83019,78506,86534.5,70428,52302,41243.5,85007.5,42375.5,42632,28618,11235,2378.5,400.5
"2023","천안시","계",654280.5,21233.5,30799,34455.5,33230.5,41974,48638.5,48790,49061,57950.5,53371.5,57023.5,48960.5,45721.5,30458,19151.5,13613,19848.5,10932,8916.5,6235.5,2144,462.5,74.5
"2023","천안시","남자",334803.5,10909,15784,17696.5,17193,21788.5,26485,26237,26105,30533,27377,29165,24948,23488.5,15193,9154,6108.5,6638.5,4121.5,2517,1935.5,488.5,85,8
"2023","천안시","여자",319477,10324.5,15015,16759,16037.5,20185.5,22153.5,22553,22956,27417.5,25994.5,27858.5,24012.5,22233,15265,9997.5,7504.5,13210,6810.5,6399.5,4300,1655.5,377.5,66.5
"2023","동남구","계",255159.5,6619,10182.5,12616,12853.5,16351,17174.5,15529,15322.5,20337,20655.5,22949.5,20954,21346,15119.5,9829.5,6958.5,10362,5632.5,4729.5,3291.5,1153,245.5,39.5
"2023","동남구","남자",129228.5,3395,5220,6503.5,6664,8533.5,9270,8434,8045.5,10416,10638,11705,10633,10836,7509.5,4729.5,3166.5,3529.5,2176,1353.5,1033.5,270,45.5,4.5
"2023","동남구","여자",125931,3224,4962.5,6112.5,6189.5,7817.5,7904.5,7095,7277,9921,10017.5,11244.5,10321,10510,7610,5100,3792,6832.5,3456.5,3376,2258,883,200,35
"2023","서북구","계",399121,14614.5,20616.5,21839.5,20377,25623,31464,33261,33738.5,37613.5,32716,34074,28006.5,24375.5,15338.5,9322,6654.5,9486.5,5299.5,4187,2944,991,217,35
"2023","서북구","남자",205575,7514,10564,11193,10529,13255,17215,17803,18059.5,20117,16739,17460,14315,12652.5,7683.5,4424.5,2942,3109,1945.5,1163.5,902,218.5,39.5,3.5
"2023","서북구","여자",193546,7100.5,10052.5,10646.5,9848,12368,14249,15458,15679,17496.5,15977,16614,13691.5,11723,7655,4897.5,3712.5,6377.5,3354,3023.5,2042,772.5,177.5,31.5
"2023","공주시","계",102020.5,1845.5,2792.5,3650.5,4270,5962.5,4915,4139.5,4264,5707.5,6427,8224.5,8920.5,10970.5,9351,6720,4866.5,8993.5,4700.5,4293,2936.5,1129.5,190.5,36.5
"2023","공주시","남자",50890.5,944,1449.5,1908.5,2219.5,3002,2797,2303.5,2263.5,2949.5,3419,4263,4576.5,5529.5,4692,3337.5,2182,3054,1770,1284,942.5,283,53,5.5
"2023","공주시","여자",51130,901.5,1343,1742,2050.5,2960.5,2118,1836,2000.5,2758,3008,3961.5,4344,5441,4659,3382.5,2684.5,5939.5,2930.5,3009,1994,846.5,137.5,31
"2023","보령시","계",96232,1984.5,3019,3788,3928,4068.5,4199.5,3890.5,4335,5963.5,6679,8048.5,8264.5,9962,8589.5,6531.5,4940,8040.5,4315,3725.5,2608.5,902.5,187,27.5
"2023","보령시","남자",48726,1017,1503,1920.5,2080,2309.5,2440.5,2242,2300,3254.5,3644.5,4365,4387.5,5035,4238,3070,2163,2756,1647,1109,854.5,212.5,38,4
"2023","보령시","여자",47506,967.5,1516,1867.5,1848,1759,1759,1648.5,2035,2709,3034.5,3683.5,3877,4927,4351.5,3461.5,2777,5284.5,2668,2616.5,1754,690,149,23.5
"2023","아산시","계",339077.5,12334,18511.5,20284.5,17530,17391,20349.5,23283,26280.5,33085,28574.5,28163.5,23128.5,21943.5,16268,11053,8246.5,12651,6927.5,5723.5,4015,1407,261.5,40
"2023","아산시","남자",176591,6378.5,9555,10416.5,9002,9533,11585,12587.5,13860,17875,15373.5,15422.5,12394.5,11445.5,8036.5,5148.5,3639.5,4338,2665.5,1672.5,1292,329,46,5.5
"2023","아산시","여자",162486.5,5955.5,8956.5,9868,8528,7858,8764.5,10695.5,12420.5,15210,13201,12741,10734,10498,8231.5,5904.5,4607,8313,4262,4051,2723,1078,215.5,34.5
"2023","서산시","계",175773.5,5403,7859,8834,8246,8269.5,9597.5,10253.5,10394,13562,13628.5,15266,13999.5,14455,10964.5,8290.5,6036,10715,5497,5218,3580,1343.5,250.5,44
"2023","서산시","남자",91797.5,2713,4034,4618.5,4332,4938.5,5902.5,5952.5,5728.5,7222,7230.5,8199,7485.5,7459.5,5414.5,4113,2816,3638,2132.5,1505.5,1142.5,324,35.5,3.5
"2023","서산시","여자",83976,2690,3825,4215.5,3914,3331,3695,4301,4665.5,6340,6398,7067,6514,6995.5,5550,4177.5,3220,7077,3364.5,3712.5,2437.5,1019.5,215,40.5
"2023","논산시","계",111226,2248.5,3626,4343,4667,4929.5,5000,4732.5,4808.5,6335,7373,9116.5,9541,11504.5,10047.5,7246.5,5591.5,10115.5,5290.5,4825,3336.5,1205.5,248,35
"2023","논산시","남자",55530,1151,1851.5,2243,2395.5,2758.5,2817,2645,2465,3314.5,3949.5,4857.5,4953.5,5869,5081.5,3438.5,2458,3281.5,1925.5,1356,1005,295.5,48.5,7
"2023","논산시","여자",55696,1097.5,1774.5,2100,2271.5,2171,2183,2087.5,2343.5,3020.5,3423.5,4259,4587.5,5635.5,4966,3808,3133.5,6834,3365,3469,2331.5,910,199.5,28
"2023","계룡시","계",45452,1333,2381.5,2956.5,3319.5,2626,2194.5,2340.5,2790.5,3965,4427,4448,3319.5,3111,2389.5,1465.5,950.5,1434,751,683,474,168.5,34.5,6
"2023","계룡시","남자",22670.5,667,1198.5,1546,1746.5,1457.5,1246,1230,1421,1879,2171.5,2239,1656,1459,1154.5,699.5,458,441.5,263,178.5,136,37,4,1.5
"2023","계룡시","여자",22781.5,666,1183,1410.5,1573,1168.5,948.5,1110.5,1369.5,2086,2255.5,2209,1663.5,1652,1235,766,492.5,992.5,488,504.5,338,131.5,30.5,4.5
"2023","당진시","계",168800,5294.5,8019.5,8807.5,7506.5,6954.5,8048.5,9512,11131.5,14440,13319.5,14243.5,13210.5,13778.5,10660,7831.5,5784,10258,5415,4843,3451.5,1129.5,224,38
"2023","당진시","남자",89996.5,2708,4059.5,4563,3940.5,4007.5,4826.5,5599,6243,8076.5,7509,8136,7421,7371,5395.5,3820.5,2751,3569,2112.5,1456.5,1113.5,291,50.5,1.5
"2023","당진시","여자",78803.5,2586.5,3960,4244.5,3566,2947,3222,3913,4888.5,6363.5,5810.5,6107.5,5789.5,6407.5,5264.5,4011,3033,6689,3302.5,3386.5,2338,838.5,173.5,36.5
"2023","금산군","계",49945,754.5,1225,1943,2112,1834.5,1605.5,1468,1676,2546,3009,4169.5,4568.5,5728,5164.5,3783,3005,5353,2971,2382,1680.5,569.5,112,20
"2023","금산군","남자",25242.5,368.5,610,1033.5,1106,1047,935,807.5,864,1339,1687.5,2328.5,2480,3014,2679.5,1868.5,1319.5,1754.5,1072.5,682,504.5,147,28,2.5
"2023","금산군","여자",24702.5,386,615,909.5,1006,787.5,670.5,660.5,812,1207,1321.5,1841,2088.5,2714,2485,1914.5,1685.5,3598.5,1898.5,1700,1176,422.5,84,17.5
"2023","부여군","계",61562.5,779.5,1502.5,1941.5,2228.5,2364,2117.5,1751,1971,2813,3429,4600.5,5182.5,7062,6743.5,5164.5,4024,7888,4034,3854,2640,968,218.5,27.5
"2023","부여군","남자",30613.5,421.5,789,1053.5,1156,1333.5,1251,978.5,1029,1523.5,1883.5,2492.5,2713.5,3587.5,3409.5,2489.5,1814.5,2687.5,1520,1167.5,858,268.5,38,3
"2023","부여군","여자",30949,358,713.5,888,1072.5,1030.5,866.5,772.5,942,1289.5,1545.5,2108,2469,3474.5,3334,2675,2209.5,5200.5,2514,2686.5,1782,699.5,180.5,24.5
"2023","서천군","계",49397.5,752,1139.5,1492,1630.5,1723,1560,1439,1516,2292.5,2733,3764,4094.5,5525,5267,4323.5,3525.5,6620.5,3385,3235.5,2191,868.5,155.5,20.5
"2023","서천군","남자",24394,382.5,572,753,836.5,1000,910.5,786.5,850,1232.5,1503,2080,2197.5,2826,2604,2034.5,1598,2227.5,1236,991.5,742.5,218.5,28,2.5
"2023","서천군","여자",25003.5,369.5,567.5,739,794,723,649.5,652.5,666,1060,1230,1684,1897,2699,2663,2289,1927.5,4393,2149,2244,1448.5,650,127.5,18
"2023","청양군","계",30139.5,414,607,858.5,1083.5,1358,1093.5,873,975.5,1237.5,1528.5,2214.5,2660,3597.5,3209.5,2475,1913,4041,2010.5,2030.5,1429,506.5,87.5,7.5
"2023","청양군","남자",15384.5,210,314.5,447,583,789,652.5,500.5,528,712,887.5,1274.5,1477,1874.5,1651.5,1244,865.5,1373.5,746,627.5,459,144,22.5,2
"2023","청양군","여자",14755,204,292.5,411.5,500.5,569,441,372.5,447.5,525.5,641,940,1183,1723,1558,1231,1047.5,2667.5,1264.5,1403,970,362.5,65,5.5
"2023","홍성군","계",97560,2541,3949,4696.5,4676,4445,4288.5,4531.5,4882.5,6600.5,6984.5,7945.5,7602.5,8830,7469,5761.5,4317.5,8039,4143.5,3895.5,2757.5,916,189.5,32.5
"2023","홍성군","남자",48614,1334,2031.5,2406,2407,2466.5,2346.5,2427.5,2522.5,3312,3608,4326,3962,4443,3682.5,2706.5,1950,2682.5,1510.5,1172,894.5,238.5,35.5,3.5
"2023","홍성군","여자",48946,1207,1917.5,2290.5,2269,1978.5,1942,2104,2360,3288.5,3376.5,3619.5,3640.5,4387,3786.5,3055,2367.5,5356.5,2633,2723.5,1863,677.5,154,29
"2023","예산군","계",77627.5,1348.5,1942,2600,2860.5,3025.5,3016.5,2985.5,3073.5,4043.5,4854.5,6294.5,6633.5,8571.5,7639.5,5880.5,4490.5,8367.5,4403,3964.5,2824.5,930.5,179,30.5
"2023","예산군","남자",38936,689,991.5,1357.5,1478,1708,1713,1672.5,1662.5,2147,2621,3504.5,3515,4287.5,3852.5,2819.5,2009,2908,1694,1214,943,230.5,37.5,3
"2023","예산군","여자",38691.5,659.5,950.5,1242.5,1382.5,1317.5,1303.5,1313,1411,1896.5,2233.5,2790,3118.5,4284,3787,3061,2481.5,5459.5,2709,2750.5,1881.5,700,141.5,27.5
"2023","태안군","계",60856.5,934.5,1516.5,1929,2159.5,2157.5,2194.5,2001,2199.5,3301,3786.5,4856,5517.5,6979,6289,5045,3958.5,6032,3252.5,2779.5,1879.5,728.5,153.5,18
"2023","태안군","남자",30765.5,466.5,775,992,1109,1245,1356,1144.5,1205,1823,2098,2706.5,2930,3515.5,2997,2477,1886,2039.5,1236,803.5,598.5,175,25.5,4.5
"2023","태안군","여자",30091,468,741.5,937,1050.5,912.5,838.5,856.5,994.5,1478,1688.5,2149.5,2587.5,3463.5,3292,2568,2072.5,3992.5,2016.5,1976,1281,553.5,128,13.5
"2023","전라북도","계",1757041,40571.5,65841.5,81530.5,84276,97457,96652.5,86046,88095,118032,130132.5,152757.5,145257.5,154314.5,125765,95279.5,74632,120400.5,66007.5,54393,37743.5,13449.5,2746.5,453.5
"2023","전라북도","남자",874075.5,20545.5,33861,41935,43758,52744.5,52558,45448,44971,60308.5,66740,79662,75142,77454.5,62049.5,44813,32810.5,39274.5,24174.5,15100,11497,3074,471,58
"2023","전라북도","여자",882965.5,20026,31980.5,39595.5,40518,44712.5,44094.5,40598,43124,57723.5,63392.5,73095.5,70115.5,76860,63715.5,50466.5,41821.5,81126,41833,39293,26246.5,10375.5,2275.5,395.5
"2023","전주시","계",645398,17207.5,28629,34101.5,34511.5,42685.5,44254.5,39301,38380.5,49107.5,51760.5,57720,50214,48229.5,36453.5,26641.5,19519,26681.5,15195.5,11486,8057.5,2772,566.5,90
"2023","전주시","남자",316966.5,8725.5,14706,17433.5,17914.5,22299,23353,20484.5,19264,24219.5,25137.5,28507,24576.5,22987.5,17154.5,12105,8616.5,9482.5,5991,3491.5,2680,691.5,110.5,9.5
"2023","전주시","여자",328431.5,8482,13923,16668,16597,20386.5,20901.5,18816.5,19116.5,24888,26623,29213,25637.5,25242,19299,14536.5,10902.5,17199,9204.5,7994.5,5377.5,2080.5,456,80.5
"2023","완산구","계",328899,7595.5,13001.5,15925.5,17282,22271.5,23153,19621,18165,23126,25664,30304,26950.5,26156.5,20129,14627,10539,14388,8090,6298,4369.5,1540.5,332.5,55.5
"2023","완산구","남자",159836,3908.5,6693,8210.5,9032,11584,12004,10224.5,9119.5,11357.5,12102,14623.5,12957,12247,9434.5,6653,4674.5,5011,3156,1855,1405,386.5,58.5,5
"2023","완산구","여자",169063,3687,6308.5,7715,8250,10687.5,11149,9396.5,9045.5,11768.5,13562,15680.5,13993.5,13909.5,10694.5,7974,5864.5,9377,4934,4443,2964.5,1154,274,50.5
"2023","덕진구","계",316499,9612,15627.5,18176,17229.5,20414,21101.5,19680,20215.5,25981.5,26096.5,27416,23263.5,22073,16324.5,12014.5,8980,12293.5,7105.5,5188,3688,1231.5,234,34.5
"2023","덕진구","남자",157130.5,4817,8013,9223,8882.5,10715,11349,10260,10144.5,12862,13035.5,13883.5,11619.5,10740.5,7720,5452,3942,4471.5,2835,1636.5,1275,305,52,4.5
"2023","덕진구","여자",159368.5,4795,7614.5,8953,8347,9699,9752.5,9420,10071,13119.5,13061,13532.5,11644,11332.5,8604.5,6562.5,5038,7822,4270.5,3551.5,2413,926.5,182,30
"2023","군산시","계",260348.5,6340,10837,13052,12654,13593,13485.5,12552.5,14177.5,20174,20958.5,23746,20794,22123,18456,13471.5,10285.5,13648.5,7700.5,5948,4026.5,1568.5,308,45
"2023","군산시","남자",131817.5,3206,5500,6714.5,6534,7519,7534.5,6740,7354,10554,10870,12638,10928.5,11034.5,9107.5,6408.5,4612.5,4562,2895,1667,1271.5,347.5,41,7
"2023","군산시","여자",128531,3134,5337,6337.5,6120,6074,5951,5812.5,6823.5,9620,10088.5,11108,9865.5,11088.5,9348.5,7063,5673,9086.5,4805.5,4281,2755,1221,267,38
"2023","익산시","계",270812,5689.5,9618.5,12404.5,13572,16808.5,15786,13124,12943,17599,20185,24139.5,23565,24523,19590.5,14346,10572,16346,9046.5,7299.5,4981,1893,377.5,48
"2023","익산시","남자",134773,2875,4932.5,6317,6992.5,9073.5,8691,7028,6653.5,9004,10301,12315,11920,12282.5,9643,6777.5,4686.5,5280.5,3332.5,1948,1456.5,421.5,65.5,4.5
"2023","익산시","여자",136039,2814.5,4686,6087.5,6579.5,7735,7095,6096,6289.5,8595,9884,11824.5,11645,12240.5,9947.5,7568.5,5885.5,11065.5,5714,5351.5,3524.5,1471.5,312,43.5
"2023","정읍시","계",103989.5,1973.5,3167,4191.5,4573,4946,4571.5,3876.5,4049,5888.5,7252,8885,9099.5,9959,8485,6742.5,5805,10525,5615,4910,3407.5,1230.5,230.5,41.5
"2023","정읍시","남자",51764,999.5,1633.5,2220,2393,2788.5,2545,2084.5,2135,3083,3808,4796,4895,5219,4192,3142.5,2494.5,3335,2013,1322,1022,257.5,36.5,6
"2023","정읍시","여자",52225.5,974,1533.5,1971.5,2180,2157.5,2026.5,1792,1914,2805.5,3444,4089,4204.5,4740,4293,3600,3310.5,7190,3602,3588,2385.5,973,194,35.5
"2023","남원시","계",77200,1592,2413.5,3134,3568,3465.5,3077.5,2738.5,2938.5,4166.5,5165.5,6748.5,6692.5,7613.5,6387.5,5200,4300,7998.5,4245.5,3753,2643,858,212.5,39.5
"2023","남원시","남자",37860.5,813.5,1284.5,1650.5,1837,1960,1684.5,1425,1498.5,2086.5,2605.5,3640.5,3536,3889,3201,2445,1828,2475.5,1485.5,990,751,194,35.5,9.5
"2023","남원시","여자",39339.5,778.5,1129,1483.5,1731,1505.5,1393,1313.5,1440,2080,2560,3108,3156.5,3724.5,3186.5,2755,2472,5523,2760,2763,1892,664,177,30
"2023","김제시","계",81247,1532,2114.5,2814.5,3075.5,3407,3555.5,3032,3172.5,4245.5,5012.5,6252,7000,8345,7435.5,5998.5,4895,9359.5,4824,4535.5,3058,1213.5,222.5,41.5
"2023","김제시","남자",40438.5,763.5,1115.5,1435.5,1586.5,1907,2015.5,1602.5,1642.5,2320.5,2801.5,3514.5,3867,4280.5,3783,2811,2104.5,2887.5,1686.5,1201,879.5,270.5,43,8
"2023","김제시","여자",40808.5,768.5,999,1379,1489,1500,1540,1429.5,1530,1925,2211,2737.5,3133,4064.5,3652.5,3187.5,2790.5,6472,3137.5,3334.5,2178.5,943,179.5,33.5
"2023","완주군","계",94929.5,2381.5,3733.5,4398.5,4087.5,4232,4687,4798,4969,6549.5,6883,7897.5,7951,8818.5,7306.5,5260.5,4059,6917,3683.5,3233.5,2255,776.5,176,26
